Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Scikit-learn LogisticRegression,0.8062455642299503,0.6593059936908517,0.5588235294117647,0.6049204052098408,0.8421710713270816
Custom GD (LR=0.1),0.8019872249822569,0.6547231270358306,0.5374331550802139,0.5903083700440529,0.8397142783332042
